Column I Duties & Functions,"Column II Departments, Statutory Institutions & Public Corporations",Column III Laws and Ordinance to be Implemented
"1. Formulation, implementation,
monitoring and evaluation
of policies, programmes and
projects, in relation to the
subject of Defence, and those
subjects that come under the
purview of Departments,
Statutory Institutions and Public
Corporations listed in Column
II based on the national policies
implemented by the government.","1. Office of the Chief of Defence
Staff
2. Sri Lanka Army
3. Sri Lanka Navy
4. Sri Lanka Air Force
5. State Intelligence Service
6. Civil Security Department
7. Department of Multipurpose
Development Task Force
8. National Cadet Corps
9. National Authority for the
Implementation of Chemical
Weapons Convention
10. Sir John Kotelawala Defence
University
11. Defence Services Command and
Staff College
12. Miloda Institute -
as a Faculty of Kotelawala
Defence University
13. Defence Services School
14. Defence Research and
Development Centre
15. Institute of National Security
Studies
16. National Defence College
17. Rakna Arakshana Lanka Ltd.
18. Coast Guard Department of Sri
Lanka","• Chief of Defence Staff Act,
No. 35 of 2009
• Army Act No. 17 of 1949
• Navy Act No. 34 of 1950
• Air Force Act No. 41 of 1949
• Extradition Law, No. 8 of 1977
• Explosives Act, No. 21 of 1956
• Firearms Ordinance No. 33 of
1916
• Firing Ranges and Military
Training Act, No. 24 of 1951
• Mobilization and Supplementary
Forces Act, No. 40 of 1985
• Offensive Weapons Act, No. 18
of 1966
• Piracy Act, No. 9 of 2001
• Prevention of Terrorism Act,
No. 48 of 1979
• Public Security Ordinance,
No. 25 of 1947
• Chemical Weapons Convention
Act, No. 58 of 2007
• Sir John Kotelawala Defence
Academy Act, No. 68 of 1981
• Defence Services Command and
Staff College Act, No. 5 of 2008
• Suppression of Terrorist
Bombings Act, No. 11 of 1999
• Suppression of Unlawful Acts
Against the Safety of Maritime
Navigation Act, No. 42 of 2000"
"2. Provision of public services
under the purview of the
Ministry in an efficient and
people friendly manner.",,
"3. Reforming all systems and
procedures using modern
management techniques and
technology, thus ensuring that
the functions of the Ministry
are fulfilled while eliminating
corruption and waste.",,
4. Ensuring national security.,,
5. Maintenance of internal security.,,
"6. Maintenance of national
and internal security-related
intelligence services.",,
"7. Maintenance of relations with
visiting Armed Forces",,
"8. Extension of cooperation to
international humanitarian
operations.",,
"9. Matters relating to explosives
and firearms",,
"10. Matters relating to maintenance
of light houses (other than those
belonging to the Ports Authority)",,
25. Encourage research and development into appropriate technology for housing and construction sector,,
"26. Promote sustained development in the telecommunication industry by shaping the regulatory process, protecting public interest and being responsive to challenges in an increasingly competitive market",,
27. All other subjects that come under the purview of Institutions listed in Column II,,
28. Supervision of all the Institutions listed in Column II,,
"1. Formulation, implementation, monitoring and evaluation of policies, programmes and projects, in relation to the subjects of Finance, Economic Stabilization and Taxation and those subjects that come under the purview of Departments, Statutory Institutions and Public Corporations listed in Column II based on the national policies implemented by the government.","1. National Planning Department
2. Department of Project Management and Monitoring
3. Department of External Resources
4. State Resources Management Corporation
5. General Treasury
6. Department of Fiscal Policy
7. Department of National Budget
8. Department of Management Services","• Appropriation Acts
• Customs Ordinance, No. 17 of 1956
• Foreign Loans Act, No. 29 of 1957
• Debits Tax Act, No. 12 of 2007
• Betting and Gaming Levy Act, No. 40 of 1998
• Economic Service Charge Act, No. 13 of 2006
• Public Service Mutual Provident Association Ordinance, No. 5 of 1891"
2. Provision of public services under the purview of the Ministry in an efficient and people friendly manner,,
12. Ensuring the execution of the national budget and enforcing budgetary and financial controls,29. Insurance Regulatory Commission of Sri Lanka,"• Stamp Duty (Special Provisions) Act, No. 12 of 2006"
13. Management of national tax policies and effective use of Government revenue,30. Sri Lanka Insurance Corporation and its subsidiaries and affiliated companies,"• Stamp Duty (Special Provisions) Act, No. 10 of 2008"
14. Coordination of public and private sector activities for economic development,31. Credit Information Bureau,"• Stamps Duty Act, No. 43 of 1982"
15. Coordination with international agencies and mobilization of foreign resources for economic development,32. Department of the Registrar of Companies,"• Value Added Tax Act, No. 14 of 2002"
16. Liaising with donor agencies and international financial institutions,33. Securities and Exchange Commission of Sri Lanka,"• Welfare Benefits Act, No. 24 of 2002"
17. Enforcement of Government Financial Regulations,34. Sri Lanka Accounting and Auditing Standard Monitoring Board,"• Finance Act, No. 38 of 1971"
18. Management of the Consolidated Fund,35. Public Utilities Commission of Sri Lanka,"• Environment Conservation Levy Act, No. 26 of 2008"
19. Overall supervision of revenue agencies,36. Sri Lanka Export Credit Insurance Corporation,"• Tax Appeals Commission Act, No. 23 of 2008"
20. Provision of direction and guidance to State Banks and Financial Agencies,37. Housing Development Finance Corporation,• Public Utilities Commission of Sri Lanka Act No. 35 of 2002
21. Public expenditure management,38. State Mortgage and Investment Bank,Institute of Policy Studies of Sri Lanka Act No. 53 of 1988
"22. Preparation of policies, guidelines and regulations on government procurement and provision of advice on same",39. Regional Development Bank,• Sustainable Development Act No. 19 of 2017
"23. Maintenance of information on state property such as vehicles, buildings, lands owned by all government institutions and development of methods to utilize such resources efficiently and effectively.",40. Tax Appeals Commission,"• Development Lotteries Board Act, No. 20 of 1997"
,41. Department of Census and Statistics,"• Sri Lanka Export Credit Insurance Act, No. 15 of 1978"
,42. Institute of Policy Studies,"• Inland Revenue Act, No. 24 of 2017"
,43. Sustainable Development Council,• Monetary Law Act No. 58 of 1949
,44. Welfare Benefits Board,"• National Savings Bank Act, No. 30 of 1971"
,45. Public Service Mutual Provident Fund,"• People's Bank Act, No. 29 of 1961"
,"46. Strike, Riot, Civil Commotion and Terrorism Fund",
