Duties & Functions,"Departments, Statutory Institutions & Public Corporations",Laws and Ordinance to be Implemented
Supervision of departmental and other public funds,National Insurance Trust Fund,Bank of Ceylon Ordinance No. 53 of 1938
Maintenance of Treasury Minutes on reports of the Public Accounts Committee,Employees' Trust Fund,"Banking Act, No. 30 of 1988"
Cadre management and advisory services on fixing of salaries,Lady Lochore Fund,"Housing Development Finance Corporation Act, No. 07 of 1997"
Monetary policy formulation and macroeconomic management in coordination with the Central Bank of Sri Lanka,Board of Investment of Sri Lanka,"Recovery of loans by Banks (Special Provisions) Act, No. 4 of 1990"
Revenue collection and expenditure monitoring,Colombo Port City Economic Commission,"Securities and Exchange Commission of Sri Lanka Act, No. 36 of 1987"
Formulation of guidelines for the promotion of management audit in departments,Department of Telecommunications,"Regional Development Banks Act, No. 41 of 2008"
Regulation of insurance industry,Wildlife Trust,"National Insurance Trust Fund Act, No. 28 of 2006"
"Financial administration of Public Corporations, Statutory Boards and Government Owned Companies",Sri Lanka Media Training Institute,Employees' Trust Fund (Special Provisions) Act No. 19 of 1993
Development of Colombo Port City Special Economic Zone as an International Business and Services Hub with specialized infrastructure and other facilities aimed at national interest and economic advancement.,Department of Internal Trade,"Employees Trust Fund Act, No. 46 of 1980"
Finalizethe liquidation and amalgamation work of Institutions listed in Column II from item No. 52 to 59.,"Pulse Crops, Grain Research and Production Authority",Excise (Special Provisions) Act No. 13 of 1989
All other subjects that come under the purview of Institutions listed in Column II,Janatha Fertilizer Enterprises Ltd,Registered Stock and Securities Ordinance No. 07 of 1937
Supervision of all the Institutions listed in Column II,Protection of Children National Trust Fund,"Payment and Settlement Systems Act, No. 28 of 2005"
,Institutions coming under the Revival (Removal) of Underperforming Enterprises or Underutilized Assets Act vested to the Secretary to the Treasury,"Finance Business Act, No. 42 of 2011"
,,"Foreign Exchange Act, No. 12 of 2017"
,,Census Ordinance (Chapter 143)
,,"Insurance Corporation Act, No. 02 of 1961"
,,"Credit Information Bureau of Sri Lanka Act, No. 18 of 1990"
